;;10;10/12
12827;;D2;155x220,80x80
10955;;D2;155x220,80x80
37886;;D2;155x220,80x80
37895;;D2;155x220,80x80
95046;;D2;155x220,80x80-D
91249;;D2;155x220,80x80-D
83063;;D2;155x220,80x80-D
52626;;D2;155x220,80x80-D
48430;;D2;155x220,80x80-D
47052;;D2;155x220,80x80-D
46689;;D2;155x220,80x80-D
21226;;D2;155x220,80x80-D
20126;;D2;155x220,80x80-D
;;158;158/164
;;16;16/18
;;160;160/170
;;18;18/20
;;3;180x200x40
;;20;20/22
35775;;G1;200x200,2x50x75
143;;G1;200x200,2x50x75
141;;G1;200x200,2x50x75
139;;G1;200x200,2x50x75
206;;G1;200x200,2x50x75
205;;G1;200x200,2x50x75
203;;G1;200x200,2x50x75
21226;;G1;200x200,2x50x75
15095;;G1;200x200,2x50x75
15184;;G1;200x200,2x50x75
15291;;G1;200x200,2x50x75
11099;;G1;200x200,2x50x75
11152;;G1;200x200,2x50x75
11456;;G1;200x200,2x50x75
13229;;G1;200x200,2x50x75
13110;;G1;200x200,2x50x75
11276;;G1;200x200,2x50x75
11728;;G1;200x200,2x50x75
11605;;G1;200x200,2x50x75
12695;;G1;200x200,2x50x75
12827;;G1;200x200,2x50x75
10955;;G1;200x200,2x50x75
37886;;G1;200x200,2x50x75
37895;;G1;200x200,2x50x75
91249;;G1;200x200,2x50x75-GB
83063;;G1;200x200,2x50x75-GB
47052;;G1;200x200,2x50x75-GB
21226;;G1;200x200,2x50x75-GB
20126;;G1;200x200,2x50x75-GB
35775;;DK3;200x200,2x60x63
143;;DK3;200x200,2x60x63
141;;DK3;200x200,2x60x63
139;;DK3;200x200,2x60x63
203;;DK3;200x200,2x60x63
15291;;DK3;200x200,2x60x63
11099;;DK3;200x200,2x60x63
13229;;DK3;200x200,2x60x63
11276;;DK3;200x200,2x60x63
11728;;DK3;200x200,2x60x63
11605;;DK3;200x200,2x60x63
12695;;DK3;200x200,2x60x63
12827;;DK3;200x200,2x60x63
10955;;DK3;200x200,2x60x63
37886;;DK3;200x200,2x60x63
37895;;DK3;200x200,2x60x63
21226;;DK3;200x200,60x63
95046;;DK3;200x200,60x63-DK
91249;;DK3;200x200,60x63-DK
83063;;DK3;200x200,60x63-DK
48430;;DK3;200x200,60x63-DK
47052;;DK3;200x200,60x63-DK
21226;;DK3;200x200,60x63-DK
20126;;DK3;200x200,60x63-DK
11099;;DK4;200x220,2x60x63
13229;;DK4;200x220,2x60x63
11276;;DK4;200x220,2x60x63
11728;;DK4;200x220,2x60x63
11605;;DK4;200x220,2x60x63
12695;;DK4;200x220,2x60x63
12827;;DK4;200x220,2x60x63
10955;;DK4;200x220,2x60x63
37886;;DK4;200x220,2x60x63
37895;;DK4;200x220,2x60x63
;;22;22/24
35775;;G2;230x220,2x50x75
143;;G2;230x220,2x50x75
141;;G2;230x220,2x50x75
139;;G2;230x220,2x50x75
206;;G2;230x220,2x50x75
205;;G2;230x220,2x50x75
203;;G2;230x220,2x50x75
21226;;G2;230x220,2x50x75
15095;;G2;230x220,2x50x75
15184;;G2;230x220,2x50x75
15291;;G2;230x220,2x50x75
11099;;G2;230x220,2x50x75
11152;;G2;230x220,2x50x75
11456;;G2;230x220,2x50x75
13229;;G2;230x220,2x50x75
13110;;G2;230x220,2x50x75
11276;;G2;230x220,2x50x75
11728;;G2;230x220,2x50x75
11605;;G2;230x220,2x50x75
12695;;G2;230x220,2x50x75
12827;;G2;230x220,2x50x75
10955;;G2;230x220,2x50x75
37886;;G2;230x220,2x50x75
37895;;G2;230x220,2x50x75
91249;;G2;230x220,2x50x75-GB
83063;;G2;230x220,2x50x75-GB
47052;;G2;230x220,2x50x75-GB
21226;;G2;230x220,2x50x75-GB
20126;;G2;230x220,2x50x75-GB
;;24;24/26
35775;;NL2;240x220+40,2x60x70
143;;NL2;240x220+40,2x60x70
141;;NL2;240x220+40,2x60x70
139;;NL2;240x220+40,2x60x70
203;;NL2;240x220+40,2x60x70
15291;;NL2;240x220+40,2x60x70
11099;;NL2;240x220+40,2x60x70
13229;;NL2;240x220+40,2x60x70
11276;;NL2;240x220+40,2x60x70
11728;;NL2;240x220+40,2x60x70
11605;;NL2;240x220+40,2x60x70
12695;;NL2;240x220+40,2x60x70
12827;;NL2;240x220+40,2x60x70
10955;;NL2;240x220+40,2x60x70
37886;;NL2;240x220+40,2x60x70
37895;;NL2;240x220+40,2x60x70
21226;;NL2;240x220+40,60x70
95046;;NL2;240x220+40,60x70-NL
91249;;NL2;240x220+40,60x70-NL
48430;;NL2;240x220+40,60x70-NL
83063;;NL2;240x220+40,60x70-NL 
47052;;NL2;240x220+40,60x70-NL 
21226;;NL2;240x220+40,60x70-NL 
20126;;NL2;240x220+40,60x70-NL 
;;2;240x250
;;26;26/28
;;2XL;2XL
;;2XL;2XL/3XL
;;36;36/37
;;36;36/38
;;38;38/39
;;38;38/40
;;39;39/41
;;40;40/41
;;40;40/42
;;40;40/47
;;42;42/44
;;44;44/46
;;46;46/48
;;48;48/50
;;50;50/52
;;;50X100
144;;S1;50x60
142;;S1;50x60
140;;S1;50x60
204;;S1;50x60
14938;;S1;50x60
11143;;S1;50x60
11379;;S1;50x60
11554;;S1;50x60
13289;;S1;50x60
11454;;S1;50x60
11788;;S1;50x60
11663;;S1;50x60
12753;;S1;50x60
12811;;S1;50x60
10966;;S1;50x60
37898;;S1;50x60
37890;;S1;50x60
95495;;S1;50x60-S
95174;;S1;50x60-S
75782;;S1;50x60-S
71678;;S1;50x60-S
46381;;S1;50x60-S
37306;;S1;50x60-S
36711;;S1;50x60-S
36194;;S1;50x60-S
26233;;S1;50x60-S
;;52;52/54
144;;DK1;60x63
142;;DK1;60x63
140;;DK1;60x63
207;;DK1;60x63
204;;DK1;60x63
208;;DK1;60x63
14906;;DK1;60x63
14938;;DK1;60x63
15269;;DK1;60x63
11143;;DK1;60x63
11379;;DK1;60x63
11554;;DK1;60x63
13171;;DK1;60x63
13289;;DK1;60x63
11454;;DK1;60x63
11788;;DK1;60x63
11663;;DK1;60x63
12753;;DK1;60x63
12811;;DK1;60x63
10966;;DK1;60x63
37898;;DK1;60x63
37890;;DK1;60x63
95495;;DK1;60x63-DK
95174;;DK1;60x63-DK
75782;;DK1;60x63-DK
71678;;DK1;60x63-DK
67126;;DK1;60x63-DK
46381;;DK1;60x63-DK
37306;;DK1;60x63-DK
36711;;DK1;60x63-DK
36194;;DK1;60x63-DK
26233;;DK1;60x63-DK
144;;NL1;60x70
142;;NL1;60x70
140;;NL1;60x70
204;;NL1;60x70
14938;;NL1;60x70
11143;;NL1;60x70
11379;;NL1;60x70
11554;;NL1;60x70
13289;;NL1;60x70
