00325-90C,17,2,0,1
00332-46,16,2,0,1
00392-70C,1,2,0,1
00392-80B,1,2,0,1
00453-M,183,2,0,1
00488-85B,13,2,0,1
00488-90C,11,2,0,1
00495-85C,1,2,0,1
00498-46,44,2,0,1
00646-80D,2,2,0,1
00830-40,54,2,0,1
00847-85C,1,2,0,1
00852-38,31,2,0,1
00940-75A,1,2,0,1
00940-75B,10,2,0,1
01069-40,69,2,0,1
01134-40,23,2,0,1
01138-85A,10,2,0,1
01185-38,9,2,0,1
01192-38,80,2,0,1
01368-80A,12,2,0,1
01426-40,24,2,0,1
01693-75A,43,2,0,1
02640-75A,28,2,0,1
03034-70B,0,2,0,0
03098-85A,0,2,0,0
03111-40,7,2,0,1
03134-38,58,2,0,1
03188-85A,34,2,0,1
03280-90B,0,2,0,0
03326-40,1,2,0,1
03384-85A,4,2,0,1
04044-75A,22,2,0,1
04190-36,31,2,0,1
04277-80E,9,2,0,1
04292-38,46,2,0,1
04779-80B,1,2,0,1
06263-90E,1,2,0,1
06272-70E,1,2,0,1
06338-80A,0,2,0,0
06375-80F,14,2,0,1
06411-80B,36,2,0,1
06411-85A,34,2,0,1
06411-85B,44,2,0,1
06411-90D,8,2,0,1
06493-85B,30,2,0,1
06508-44,83,2,0,1
06526-75A,7,2,0,1
06552-42,31,2,0,1
06613-40,0,2,0,0
06641-80B,4,2,0,1
06641-85B,10,2,0,1
06658-46,25,2,0,1
06759-90D,1,2,0,1
06806-80F,2,2,0,1
06822-42,16,2,0,1
06882-90C,5,2,0,1
06906-75B,0,2,0,0
06932-36,0,2,0,0
06994-36,41,2,0,1
07043-48,143,2,0,1
07055-80B,60,2,0,1
07700-15B,0,2,0,0
07700-15C,0,2,0,0
07702-15C,0,2,0,0
07702-15D,0,2,0,0
07702-15E,0,2,0,0
07704-90C,0,2,0,0
07705-80C,1,2,0,1
07706-75D,54,2,0,1
07706-80B,65,2,0,1
07706-85A,25,2,0,1
07706-85B,67,2,0,1
07708-70A,25,2,0,1
07708-70C,25,2,0,1
07708-70D,30,2,0,1
07708-75A,90,2,0,1
07709-46,80,2,0,1
07716-15B,0,2,0,0
07716-95D,0,2,0,0
07717-80B,9,2,0,1
07719-70A,0,2,0,0
07719-75D,34,2,0,1
07719-85B,48,2,0,1
07724-10C,0,2,0,0
07725-85E,29,2,0,1
07726-10C,0,2,0,0
07732-38,218,2,0,1
10853-L,0,2,0,0
10858-M,1,2,0,1
11065-46,3,2,0,1
11087-46,2,2,0,1
11208-2XL,31,2,0,1
11487-2XL,61,2,0,1
11611-36,13,2,0,1
11622-2XL,67,2,0,1
11678-L,267,2,0,1
11678-M,343,2,0,1
11727-3XL,0,2,0,0
11902-38,82,2,0,1
12052-3,108,2,0,1
12093-80A,80,2,0,1
12250-S,2,2,0,1
12405-122,41,2,0,1
12405-128,56,2,0,1
12799-M,105,2,0,1
12868-2XL,1,2,0,1
13059-42,146,2,0,1
13063-85C,57,2,0,1
13114-85C,2,2,0,1
13586-75D,5,2,0,1
13586-80D,4,2,0,1
13592-38,2,2,0,1
13592-40,9,2,0,1
13600-75F,10,2,0,1
13736-XL,1,2,0,1
13797-M,240,2,0,1
13797-S,113,2,0,1
14031-128,145,2,0,1
14033-122,22,2,0,1
14071-38,222,2,0,1
14098-S,41,2,0,1
14170-S,52,2,0,1
14205-44,4,2,0,1
14216-S,208,2,0,1
14221-L,178,2,0,1
14651-46,3,2,0,1
15302-86,0,2,0,0
15302-152,0,2,0,0
15302-158,0,2,0,0
15302-164,0,2,0,0
15303-86,0,2,0,0
15303-152,0,2,0,0
15303-158,0,2,0,0
15303-164,0,2,0,0
15843-116,20,2,0,1
