2800,142056,142055,75900,
2923,142065,142057,50620-86,
2923,142065,142058,50620-92,
2923,142065,142059,50620-98,
2923,142065,142060,50620-104,
2923,142065,142061,50620-110,
2923,142065,142062,50620-116,
2923,142065,142063,50620-122,
2923,142065,142064,50620-128,
2944,142074,142066,23056-86,
2944,142074,142067,23056-92,
2944,142074,142068,23056-98,
2944,142074,142069,23056-104,
2944,142074,142070,23056-110,
2944,142074,142071,23056-116,
2944,142074,142072,23056-122,
2944,142074,142073,23056-128,
2945,142083,142075,11501-86,
2945,142083,142076,11501-92,
2945,142083,142077,11501-98,
2945,142083,142078,11501-104,
2945,142083,142079,11501-110,
2945,142083,142080,11501-116,
2945,142083,142081,11501-122,
2945,142083,142082,11501-128,
2946,142092,142084,11502-86,
2946,142092,142085,11502-92,
2946,142092,142086,11502-98,
2946,142092,142087,11502-104,
2946,142092,142088,11502-110,
2946,142092,142089,11502-116,
2946,142092,142090,11502-122,
2946,142092,142091,11502-128,
2964,142101,142093,11503-86,
2964,142101,142094,11503-92,
2964,142101,142095,11503-98,
2964,142101,142096,11503-104,
2964,142101,142097,11503-110,
2964,142101,142098,11503-116,
2964,142101,142099,11503-122,
2964,142101,142100,11503-128,
2982,142110,142102,23058-86,
2982,142110,142103,23058-92,
2982,142110,142104,23058-98,
2982,142110,142105,23058-104,
2982,142110,142106,23058-110,
2982,142110,142107,23058-116,
2982,142110,142108,23058-122,
2982,142110,142109,23058-128,
3003,142119,142111,29550-86,
3003,142119,142112,29550-92,
3003,142119,142113,29550-98,
3003,142119,142114,29550-104,
3003,142119,142115,29550-110,
3003,142119,142116,29550-116,
3003,142119,142117,29550-122,
3003,142119,142118,29550-128,
3003,142128,142120,29549-86,
3003,142128,142121,29549-92,
3003,142128,142122,29549-98,
3003,142128,142123,29549-104,
3003,142128,142124,29549-110,
3003,142128,142125,29549-116,
3003,142128,142126,29549-122,
3003,142128,142127,29549-128,
3021,142137,142129,29551-86,
3021,142137,142130,29551-92,
3021,142137,142131,29551-98,
3021,142137,142132,29551-104,
3021,142137,142133,29551-110,
3021,142137,142134,29551-116,
3021,142137,142135,29551-122,
3021,142137,142136,29551-128,
3035,142146,142138,16105-86,
3035,142146,142139,16105-92,
3035,142146,142140,16105-98,
3035,142146,142141,16105-104,
3035,142146,142142,16105-110,
3035,142146,142143,16105-116,
3035,142146,142144,16105-122,
3035,142146,142145,16105-128,
3035,142155,142147,16106-86,
3035,142155,142148,16106-92,
3035,142155,142149,16106-98,
3035,142155,142150,16106-104,
3035,142155,142151,16106-110,
3035,142155,142152,16106-116,
3035,142155,142153,16106-122,
3035,142155,142154,16106-128,
3054,142164,142156,29552-86,
3054,142164,142157,29552-92,
3054,142164,142158,29552-98,
3054,142164,142159,29552-104,
3054,142164,142160,29552-110,
3054,142164,142161,29552-116,
3054,142164,142162,29552-122,
