23056,"empty OriginalFilename tag"
11501,"empty OriginalFilename tag"
11501,112T_ALT_08_V010_ISO39.jpg
54301,"empty OriginalFilename tag"
54301,112D_ALT_27_V031_ISO39.jpg
23043,121D_JEANS_V019_PSR.jpg
23043,121D_01_02_V060_PSR.jpg
23043,121D_4A_01_V040_PSR.jpg
25509,"empty OriginalFilename tag"
25508,11206_003950_02_A_6005.jpg
30202,11206_003951_02_A_4001.jpg
14027,"empty OriginalFilename tag"
12405,"empty OriginalFilename tag"
22135,BASIC_004262_02_A_0001_PSR.jpg
27645,"empty OriginalFilename tag"
27645,"empty OriginalFilename tag"
27645,"empty OriginalFilename tag"
27645,"empty OriginalFilename tag"
27644,"empty OriginalFilename tag"
22186,"empty OriginalFilename tag"
22186,"empty OriginalFilename tag"
22186,"empty OriginalFilename tag"
22186,"empty OriginalFilename tag"
22186,"empty OriginalFilename tag"
22184,"empty OriginalFilename tag"
22184,"empty OriginalFilename tag"
22184,"empty OriginalFilename tag"
22183,"empty OriginalFilename tag"
22146,4262.jpg
22145,4262.jpg
22159,121G_01_02_V012.jpg
22161,121G_01_02_V012.jpg
22162,121G_01_02_V012.jpg
22160,121G_01_02_V012.jpg
22142,121G_01_02_V012.jpg
15301,BASIC_004267_02_A_8005_PSR.jpg
15301,121D_02_02_V005_PSR.jpg
15301,121D_05_04_V067_PSR.jpg
15301,"empty OriginalFilename tag"
15301,"empty OriginalFilename tag"
15301,112D_OPSL_3B_01_V005.jpg
15301,121D_02_01_V057_PSR.jpg
15300,BASIC_004267_02_A_0001_PSR.jpg
15300,121D_02_02_V005_PSR.jpg
15300,121D_05_04_V067_PSR.jpg
15300,"empty OriginalFilename tag"
15300,"empty OriginalFilename tag"
15300,"empty OriginalFilename tag"
15300,"empty OriginalFilename tag"
15300,"empty OriginalFilename tag"
15300,"empty OriginalFilename tag"
15300,"empty OriginalFilename tag"
15300,"empty OriginalFilename tag"
15300,"empty OriginalFilename tag"
15300,"empty OriginalFilename tag"
15300,"empty OriginalFilename tag"
15300,"empty OriginalFilename tag"
15300,112D_OPSL_3B_01_V005.jpg
15300,121D_02_01_V057_PSR.jpg
15302,BASIC_004268_02_A_0001_PSR.jpg
15302,"empty OriginalFilename tag"
15302,"empty OriginalFilename tag"
15302,"empty OriginalFilename tag"
15302,"empty OriginalFilename tag"
15302,"empty OriginalFilename tag"
15302,"empty OriginalFilename tag"
15302,"empty OriginalFilename tag"
76313,BASIC_004447_02_A_0002_PSR.jpg
76627,"empty OriginalFilename tag"
76627,"empty OriginalFilename tag"
76627,"empty OriginalFilename tag"
76627,"empty OriginalFilename tag"
76627,"empty OriginalFilename tag"
76628,"empty OriginalFilename tag"
76628,"empty OriginalFilename tag"
98565,132H_02_02_V044.jpg
98565,132H_09_01_V046.jpg
98565,132H_09_03_V018.jpg
98565,"empty OriginalFilename tag"
98565,"empty OriginalFilename tag"
98565,132H_06_03_V055.jpg
98565,132H_08_02_V022.jpg
98565,132H_10_01_V008.jpg
18274,151708.jpg
18277,151708.jpg
18276,111B_22_03_V061.jpg
30434,132H_02_02_V044.jpg
30434,132H_05_01_V047.jpg
30434,132H_05_04_V021.jpg
30434,132H_OE_05_V054.jpg
30434,132H_06_01_V019.jpg
30434,"empty OriginalFilename tag"
